,execution_idx,application,case,version,exception_name,frame_level,search_budget,fitness_function_value,number_of_fitness_evaluations,fitness_function_evolution,p_object_pool,seed_clone,seed_mutations
50,1,lang,LANG-13b,13b,java.lang.ClassNotFoundException,4,62328,4.5,2200.0,"[4.5,100]",0.3,1.0,3
51,1,lang,LANG-13b,13b,java.lang.ClassNotFoundException,5,62328,3.0,4000.0,"[3.0,100]",0.3,1.0,3
52,2,lang,LANG-13b,13b,java.lang.ClassNotFoundException,5,62328,3.0,5500.0,"[3.0,100]",0.3,1.0,3
53,3,lang,LANG-13b,13b,java.lang.ClassNotFoundException,4,62328,4.5,2600.0,"[4.5,100]",0.3,1.0,3
54,3,lang,LANG-13b,13b,java.lang.ClassNotFoundException,5,62328,3.0,11300.0,"[3.0,100]",0.3,1.0,3
55,4,lang,LANG-13b,13b,java.lang.ClassNotFoundException,4,62328,4.5,2000.0,"[4.5,100]",0.3,1.0,3
56,4,lang,LANG-13b,13b,java.lang.ClassNotFoundException,5,62328,3.0,1600.0,"[3.0,100]",0.3,1.0,3
57,5,lang,LANG-13b,13b,java.lang.ClassNotFoundException,4,62328,4.5,2800.0,"[4.5,100]",0.3,1.0,3
58,5,lang,LANG-13b,13b,java.lang.ClassNotFoundException,5,62328,3.0,3100.0,"[3.0,100]",0.3,1.0,3
59,6,lang,LANG-13b,13b,java.lang.ClassNotFoundException,4,62328,4.5,2600.0,"[4.5,100]",0.3,1.0,3
60,6,lang,LANG-13b,13b,java.lang.ClassNotFoundException,5,62328,3.0,3600.0,"[3.0,100]",0.3,1.0,3
61,7,lang,LANG-13b,13b,java.lang.ClassNotFoundException,4,62328,4.5,2300.0,"[4.5,100]",0.3,1.0,3
62,1,lang,LANG-16b,16b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
63,7,lang,LANG-13b,13b,java.lang.ClassNotFoundException,5,62328,3.0,4200.0,"[3.0,100]",0.3,1.0,3
64,2,lang,LANG-16b,16b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
65,4,lang,LANG-16b,16b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
66,8,lang,LANG-13b,13b,java.lang.ClassNotFoundException,4,62328,4.5,2300.0,"[4.5,100]",0.3,1.0,3
67,3,lang,LANG-16b,16b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
68,8,lang,LANG-13b,13b,java.lang.ClassNotFoundException,5,62328,0.7894736842105263,5100.0,"[3.0,100][0.7894736842105263,3700]",0.3,1.0,3
69,5,lang,LANG-16b,16b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
