,application,case,version,execution_idx,exception_name,exception_kind,frame_level,all_frames_count,project_frames_count,test_case_path,log_path,err_path,p_functional_mocking,functional_mocking_percent,p_reflection_on_private,reflection_start_percent,search_budget,population,line_fitness_value,line_fitness_time_msec,line_fitness_number_of_eval,exception_fitness_value,exception_fitness_time_msec,exception_fitness_number_of_eval,stacktrace_similarity_value,stacktrace_similarity_fitness_msec,stacktrace_similarity_number_of_eval,fitness_function_value,fitness_function_time_msec,fitness_function_number_of_tries,execution_time,total_number_of_eval,fitness_function_evolution
0,math,MATH-85b,85b,6,org.apache.commons.math.ConvergenceException,Custom Exception,3,3,3,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-85b/frame-3/6,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-85b/frame-3/R6_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-85b/frame-3/R6_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,6864.0,89.0,1.0,2488.0,1.0,1.0,2487.0,1.0,3.0,6864.0,89.0,,,(3.0;101;6864)
1,math,MATH-85b,85b,5,org.apache.commons.math.ConvergenceException,Custom Exception,3,3,3,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-85b/frame-3/5,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-85b/frame-3/R5_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-85b/frame-3/R5_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,5597.0,87.0,1.0,4816.0,1.0,1.0,4815.0,1.0,3.0,5597.0,87.0,,,(3.0;101;5597)
2,math,MATH-85b,85b,1,org.apache.commons.math.ConvergenceException,Custom Exception,3,3,3,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-85b/frame-3/1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-85b/frame-3/R1_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-85b/frame-3/R1_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,6060.0,123.0,1.0,2007.0,1.0,1.0,2007.0,1.0,3.0,6060.0,123.0,,,(4.499999999631495;101;5070)(3.0;206;6060)
3,math,MATH-85b,85b,10,org.apache.commons.math.ConvergenceException,Custom Exception,3,3,3,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-85b/frame-3/10,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-85b/frame-3/R10_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-85b/frame-3/R10_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,5507.0,100.0,1.0,2460.0,1.0,1.0,2460.0,1.0,3.0,5507.0,100.0,,,(3.0;101;5507)
4,math,MATH-89b,89b,1,java.lang.ClassCastException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-89b/frame-1/1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-89b/frame-1/R1_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-89b/frame-1/R1_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,1534.0,3.0,0.0,1535.0,3.0,0.0,1535.0,3.0,0.0,1535.0,3.0,2.0,101.0,(0.0;101;1535)
5,math,MATH-89b,89b,2,java.lang.ClassCastException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-89b/frame-1/2,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-89b/frame-1/R2_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-89b/frame-1/R2_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,1471.0,4.0,0.0,1542.0,9.0,0.0,1542.0,9.0,0.0,1542.0,9.0,2.0,101.0,(0.0;101;1542)
6,math,MATH-89b,89b,3,java.lang.ClassCastException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-89b/frame-1/3,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-89b/frame-1/R3_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-89b/frame-1/R3_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,816.0,2.0,0.0,1783.0,4.0,0.0,1783.0,4.0,0.0,1783.0,4.0,2.0,101.0,(0.0;101;1783)
7,math,MATH-85b,85b,4,org.apache.commons.math.ConvergenceException,Custom Exception,3,3,3,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-85b/frame-3/4,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-85b/frame-3/R4_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-85b/frame-3/R4_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,10276.0,241.0,1.0,2472.0,1.0,1.0,2471.0,1.0,3.0,10285.0,241.0,,,(4.499999999584649;101;5911)(3.0;311;10285)
8,math,MATH-85b,85b,2,org.apache.commons.math.ConvergenceException,Custom Exception,3,3,3,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-85b/frame-3/2,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-85b/frame-3/R2_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-85b/frame-3/R2_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,6465.0,36.0,1.0,2823.0,1.0,1.0,2823.0,1.0,3.0,6465.0,36.0,,,(3.0;101;6465)
9,math,MATH-89b,89b,4,java.lang.ClassCastException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-89b/frame-1/4,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-89b/frame-1/R4_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-89b/frame-1/R4_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,1418.0,2.0,0.0,1457.0,6.0,0.0,1457.0,6.0,0.0,1457.0,6.0,2.0,101.0,(0.0;101;1457)
