bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_1,5,4,8
Chart_11,2,15,22
Chart_17,1,2,2
Chart_2,100000,0,5
Chart_5,2,2,28
Chart_9,1,18,20
Cli_1,100000,0,7
Cli_10,2,12,14
Cli_14,1,2,8
Cli_17,4,4,18
Cli_18,1,5,15
Cli_2,1,17,23
Cli_20,1,2,26
Cli_23,1,8,8
Cli_26,100000,0,18
Cli_29,1,10,18
Cli_30,100000,0,1
Cli_31,9,3,15
Cli_32,100000,0,3
Cli_33,100000,0,4
Cli_34,3,3,8
Cli_35,1,1,26
Cli_36,100000,0,2
Cli_39,18,4,23
Cli_40,2,1,12
Cli_5,1,2,13
Cli_8,100000,0,6
Cli_9,100000,0,3
Closure_1,100000,0,1
Closure_10,100000,0,8
Closure_100,100000,0,1
Closure_101,100000,0,1
Closure_103,100000,0,2
Closure_104,100000,0,1
Closure_105,100000,0,2
Closure_106,100000,0,1
Closure_107,100000,0,2
Closure_108,100000,0,1
Closure_109,100000,0,2
Closure_110,100000,0,1
Closure_113,100000,0,2
Closure_114,100000,0,3
Closure_116,100000,0,2
Closure_117,100000,0,1
Closure_118,100000,0,4
Closure_119,100000,0,1
Closure_12,100000,0,1
Closure_120,100000,0,3
Closure_121,100000,0,2
Closure_122,100000,0,2
Closure_123,100000,0,2
Closure_126,100000,0,1
Closure_127,100000,0,2
Closure_128,100000,0,4
Closure_129,100000,0,1
Closure_13,100000,0,2
Closure_130,100000,0,4
Closure_131,100000,0,2
Closure_132,100000,0,1
Closure_133,100000,0,1
Closure_136,100000,0,3
Closure_139,100000,0,2
Closure_14,100000,0,7
Closure_141,100000,0,9
Closure_142,100000,0,3
Closure_143,100000,0,2
Closure_144,100000,0,3
Closure_146,100000,0,2
Closure_15,100000,0,2
Closure_151,100000,0,2
Closure_152,100000,0,1
Closure_153,100000,0,6
Closure_156,100000,0,1
Closure_159,100000,0,1
Closure_16,100000,0,3
Closure_161,100000,0,2
Closure_162,100000,0,1
Closure_169,100000,0,1
Closure_170,100000,0,4
Closure_171,100000,0,4
Closure_173,100000,0,9
Closure_174,100000,0,3
Closure_175,100000,0,3
Closure_176,100000,0,6
Closure_19,100000,0,1
Closure_20,100000,0,3
Closure_21,100000,0,1
Closure_23,100000,0,4
Closure_24,100000,0,3
Closure_27,1,20,22
Closure_28,100000,0,3
Closure_29,100000,0,6
Closure_30,100000,0,3
Closure_31,100000,0,3
Closure_35,100000,0,1
Closure_37,100000,0,1
Closure_38,100000,0,5
Closure_39,100000,0,2
Closure_4,100000,0,1
Closure_42,100000,0,1
Closure_43,100000,0,1
Closure_44,100000,0,1
Closure_45,100000,0,1
Closure_46,100000,0,1
Closure_49,100000,0,1
Closure_5,100000,0,2
Closure_51,100000,0,6
Closure_52,100000,0,1
Closure_54,100000,0,2
Closure_56,100000,0,2
Closure_58,100000,0,1
Closure_6,100000,0,1
Closure_60,100000,0,3
Closure_62,100000,0,1
Closure_65,100000,0,5
Closure_66,100000,0,2
Closure_7,100000,0,1
Closure_71,100000,0,1
Closure_73,100000,0,2
Closure_74,100000,0,3
Closure_75,100000,0,1
Closure_77,100000,0,6
Closure_78,100000,0,3
Closure_79,100000,0,2
Closure_8,100000,0,1
Closure_80,100000,0,2
Closure_82,100000,0,4
Closure_83,100000,0,1
Closure_84,100000,0,2
Closure_86,100000,0,1
Closure_87,100000,0,2
Closure_9,100000,0,3
Closure_90,1,1,1
Closure_92,100000,0,2
Closure_94,100000,0,3
Closure_95,100000,0,1
Closure_97,100000,0,19
Closure_98,100000,0,3
Closure_99,100000,0,3
Codec_1,100000,0,4
Codec_10,100000,0,22
Codec_11,1,22,22
Codec_12,1,16,16
Codec_13,1,18,27
Codec_14,100000,0,4
Codec_15,100000,0,29
Codec_16,100000,0,5
Codec_17,1,19,20
Codec_18,3,2,6
Codec_2,100000,0,1
Codec_3,1,12,33
Codec_4,1,7,10
Codec_5,100000,0,1
Codec_6,100000,0,7
Codec_7,1,8,8
Codec_8,1,3,13
Codec_9,2,2,18
Collections_25,1,12,23
Collections_27,100000,0,6
Compress_10,100000,0,10
Compress_11,7,1,9
Compress_12,100000,0,6
Compress_13,100000,0,9
Compress_14,100000,0,14
Compress_15,100000,0,10
Compress_16,100000,0,9
Compress_17,100000,0,23
Compress_19,100000,0,14
Compress_20,1,1,15
Compress_22,100000,0,3
Compress_23,100000,0,10
Compress_24,100000,0,5
Compress_26,100000,0,7
Compress_27,100000,0,5
Compress_28,100000,0,3
Compress_29,100000,0,3
Compress_3,100000,0,5
Compress_31,100000,0,5
Compress_32,100000,0,15
Compress_33,100000,0,18
Compress_34,100000,0,2
Compress_35,100000,0,19
Compress_36,100000,0,7
Compress_37,100000,0,14
Compress_38,100000,0,6
Compress_39,100000,0,11
Compress_40,100000,0,23
Compress_41,100000,0,12
Compress_42,14,1,17
Compress_43,100000,0,3
Compress_44,100000,0,5
Compress_46,100000,0,1
Compress_47,100000,0,12
Compress_5,100000,0,8
Compress_6,100000,0,2
Compress_7,4,1,11
Compress_8,100000,0,12
Compress_9,100000,0,20
Csv_1,100000,0,15
Csv_10,3,1,3
Csv_11,100000,0,3
Csv_12,100000,0,4
Csv_13,100000,0,1
Csv_14,100000,0,7
Csv_15,100000,0,16
Csv_2,3,3,11
Csv_4,1,6,11
Csv_5,1,11,17
Csv_6,100000,0,1
Csv_7,100000,0,3
Csv_8,1,9,19
Csv_9,6,2,11
Gson_1,100000,0,2
Gson_12,1,1,1
Gson_13,3,7,27
Gson_14,1,1,1
Gson_15,4,7,11
Gson_18,1,5,14
Gson_5,1,4,10
Gson_7,1,7,13
JacksonCore_1,100000,0,5
JacksonCore_12,1,2,2
JacksonCore_14,100000,0,6
JacksonCore_16,100000,0,4
JacksonCore_19,1,11,14
JacksonCore_2,100000,0,1
JacksonCore_20,1,2,7
JacksonCore_21,100000,0,1
JacksonCore_23,100000,0,2
JacksonCore_24,100000,0,1
JacksonCore_26,1,2,2
JacksonCore_3,100000,0,10
JacksonCore_4,100000,0,2
JacksonCore_5,1,14,19
JacksonCore_7,12,1,14
JacksonCore_8,1,3,6
JacksonCore_9,4,9,15
JacksonDatabind_100,100000,0,4
JacksonDatabind_102,1,4,9
JacksonDatabind_103,100000,0,16
JacksonDatabind_104,100000,0,7
JacksonDatabind_105,1,1,3
JacksonDatabind_107,100000,0,10
JacksonDatabind_108,100000,0,22
JacksonDatabind_109,100000,0,9
JacksonDatabind_11,1,1,6
JacksonDatabind_110,100000,0,4
JacksonDatabind_111,2,1,4
JacksonDatabind_112,100000,0,3
JacksonDatabind_13,100000,0,3
JacksonDatabind_16,1,3,3
JacksonDatabind_17,1,10,13
JacksonDatabind_18,100000,0,6
JacksonDatabind_19,1,2,12
JacksonDatabind_2,100000,0,1
JacksonDatabind_20,1,1,1
JacksonDatabind_22,100000,0,3
JacksonDatabind_23,1,2,7
JacksonDatabind_26,100000,0,7
JacksonDatabind_27,100000,0,2
JacksonDatabind_28,1,5,5
