repo_name,has_issue_commit,related_lb,related_ub,curr_total
Music-Player,0,0,0,1
adb-idea,0,0,0,20
MaterialViewPager,6,0,0,0
MarqueeViewLibrary,3,0,0,4
parceler,2,1,1,147
CoreNLP,112,4,4,866
BlockCanaryEx,0,0,0,0
qianghongbao,0,0,0,0
buck,234,160,160,10339
stampede,16,0,2,24
GreenDroid,9,0,0,0
jvm-tools,0,0,0,264
MPAndroidChart,159,24,24,10
curator,9,5,5,32
9GAG,0,0,0,0
grafika,0,0,0,0
Alerter,20,0,0,16
WilliamChart,7,0,1,13
PatternLockView,0,0,0,1
quasar,117,31,31,402
HanLP,5,0,0,13
hive,453,714,714,9055
animate,0,0,0,1
wechat,0,0,0,0
MarsDaemon,0,0,0,2
jadx,324,176,176,734
PagerSlidingTabStrip,1,0,0,0
android-gif-drawable,174,8,9,37
guava,216,5,5,1242
h2o-2,9,0,0,302
aeron,434,40,40,1188
disunity,13,0,0,6
android-testing-templates,1,0,0,30
Mybatis-PageHelper,74,25,29,131
Bolts-Android,6,1,1,62
BGARefreshLayout-Android,8,0,0,0
StepView,0,0,0,2
kickmaterial,0,0,0,12
error-prone,306,331,331,5488
cas,186,105,109,5339
druid,437,1461,1461,11227
WaveSwipeRefreshLayout,4,0,0,0
PullZoomView,0,0,0,0
binnavi,2,0,0,3073
storio,44,31,31,1345
android_page_curl,1,0,0,0
querydsl,1346,6339,65274,3738
fqrouter,0,0,0,0
Space-Navigation-View,2,0,0,2
DiskLruCache,9,0,0,61
hackpad,3,0,0,61
spring-cloud-netflix,173,6565,6570,223
android-Ultra-Pull-To-Refresh,23,0,0,0
picasso,40,3,3,312
materialistic,1,0,0,155
android-times-square,27,6,6,38
ratpack,644,4,4,15
h2o-3,30,38,38,2855
RxRelay,0,0,0,64
bitcoinj,21,21,21,829
glide-transformations,3,0,0,0
packer-ng-plugin,2,0,0,0
TransitionHelper,0,0,0,2
ImmersionBar,5,0,0,2
java8-tutorial,1,0,0,0
springboot-learning-example,0,0,0,36
CtCI-6th-Edition,3,0,0,0
datetimepicker,2,0,0,0
react-native-svg,178,0,0,1
ViewPagerIndicator,33,0,0,0
boxing,10,0,0,27
RecyclerViewPager,7,0,0,0
philm,11,0,0,0
AlgoDS,0,0,0,0
acra,56,1,1,15
openhab1-addons,565,1115,1153,693
ScrollablePanel,0,0,0,2
Android-Skin-Loader,1,0,0,2
smile,7,2,2,1221
fastjson,639,77,78,426
androidannotations,206,403,405,580
cobar,1,0,0,148
RxPermissions,11,4,4,39
azkaban,270,289,289,1108
ScalingLayout,2,0,0,2
archaius,80,138,142,127
camel,295,69,71,20958
SuperCalendar,0,0,0,3
LikeButton,0,0,0,0
ShimmerRecyclerView,1,0,0,0
android-classyshark,0,0,0,1
Android-Debug-Database,6,0,0,10
Rosie,6,1,1,119
MaterialShowcaseView,0,0,0,0
Android-Tips,1,0,0,0
DraggablePanel,2,0,0,0
UltraViewPager,10,0,0,1
android-ui,0,0,0,0
TextDrawable,0,0,0,0
ideavim,4,0,0,1437
sensey,3,0,0,66
neo4j,705,289856,290370,11602
lucida,2,0,0,0
spring-loaded,33,22,22,529
VirtualApp,58,0,0,0
android_design_patterns_analysis,0,0,0,0
Aria,1,0,0,2
roboguice,26,14,14,102
PLDroidPlayer,0,0,0,0
KenBurnsView,3,0,0,0
StereoView,0,0,0,1
Android-SwitchIcon,0,0,0,0
android-viewflow,17,0,0,0
jfinal,0,0,0,2
phonegap-facebook-plugin,22,0,0,0
Robust,0,0,0,1
hawk,0,0,0,98
android-shape-imageview,5,0,0,0
ZLayoutManager,1,0,0,0
StylishMusicPlayer,1,0,0,1
Android-Clean-Boilerplate,0,0,0,2
RichText,0,0,0,2
jodd,287,191,191,584
Bukkit,6,0,0,284
fresco,58,14,14,1514
RePlugin,0,0,0,0
AndroidTVLauncher,0,0,0,1
iosched,57,0,97,245
HTextView,3,0,0,4
AndEngine,1,0,0,0
FlipViewPager.Draco,0,0,0,0
T-MVP,0,0,0,0
FirebaseUI-Android,50,22,22,185
pixel-dungeon,0,0,0,0
otter,25,7,7,199
MagicIndicator,0,0,0,0
react-native-blur,2,0,0,0
api-samples,2,0,0,0
RxJava,131,667,667,12307
freeline,3,0,0,2
config,68,56,57,536
StickyGridHeaders,22,0,0,0
red5-server,3,0,0,174
CircleRefreshLayout,0,0,0,0
CoCoin,0,0,0,0
gradle-retrolambda,35,29,29,30
android-PullRefreshLayout,2,0,0,0
springside4,432,13,239,204
elasticsearch-jdbc,42,22,22,66
ASimpleCache,0,0,0,0
RxJavaSamples,0,0,0,0
android-demos,0,0,0,32
material-components-android,17,0,0,862
spring-boot-api-project-seed,18,0,0,0
jmonkeyengine,337,376,376,304
circular-progress-button,21,0,0,0
ZoomHeader,0,0,0,2
aesthetic,40,0,0,0
material-dialogs,276,0,0,0
android-process-button,9,0,0,0
react-native-push-notification,33,0,0,0
logger,3,0,0,71
nutz,647,1275,1296,1354
MVPArms,0,0,0,1
cw-omnibus,2,0,0,108
zeppelin,3305,1503,1503,1018
greenDAO,13,0,0,10
mapdb,334,92,93,207
Android-Image-Cropper,13,0,0,0
learning-spark,0,0,0,0
ice,11,0,0,2
metrics,187,466,466,771
PanoramaImageView,0,0,0,0
agera,6,17,17,576
android-mvp-architecture,2,0,0,3
TakePhoto,10,0,0,0
sticky-headers-recyclerview,6,0,0,0
spock,120,8,8,46
emojicon,3,0,0,0
RxLifecycle,3,0,0,78
Carbon,0,0,0,0
Shimmer-android,3,0,0,0
RecyclerRefreshLayout,1,0,0,0
interviews,1,0,0,0
LRecyclerView,0,0,0,0
android-vision,0,0,0,0
InstaMaterial,0,0,0,0
malmo,60,0,0,0
walle,1,0,0,0
termux-app,100,2,2,3
Parse-SDK-Android,25,6,6,900
AndroidSwipeLayout,12,0,0,0
Android-ObservableScrollView,45,0,0,0
android-flip,32,0,0,0
javaee7-samples,74,188,206,457
SlidingTutorial-Android,2,0,0,0
uCrop,7,0,0,0
rocketmq,3005,5670,5774,1421
