parceler,4,7,7,147
jvm-tools,1,3,3,264
curator,2,8,8,32
hive,1,3,3,9057
jadx,3,5,5,734
aeron,6,11,11,1189
Bolts-Android,1,1,1,62
error-prone,1,3,3,5488
cas,92,2660,2660,5339
druid,656,8121,8121,11228
storio,44,528,528,1345
querydsl,204,16306,16306,3738
spring-cloud-netflix,75,4694,4694,223
picasso,4,5,5,312
ratpack,1,1,1,15
h2o-3,57,1169,1169,2855
smile,4,6,6,1221
fastjson,12,18,18,426
androidannotations,58,302,302,580
RxPermissions,1,1,1,39
azkaban,40,184,184,1108
Rosie,1,1,1,119
ideavim,1,4,4,1437
jodd,2,14,14,584
FirebaseUI-Android,26,119,119,185
RxJava,414,4933,4933,12307
flink,4,6,6,24002
config,12,24,24,536
elasticsearch-jdbc,1,1,1,66
jmonkeyengine,4,10,10,304
nutz,3,14,14,1354
mapdb,2,2,2,207
metrics,26,370,370,771
agera,2,31,31,576
spock,1,1,1,46
Parse-SDK-Android,16,61,61,900
rocketmq,140,8098,8098,1421
junit5,19,370,370,4586
caffeine,1,2,2,2242
elastic-job,48,1761,1761,1047
mybatis-3,16,117,117,1622
incubator-skywalking,142,673,673,481
facebook-android-sdk,1,8,8,1363
grails-core,17,519,519,637
qualitymatters,2,10,10,120
jsoup,12,32,32,1012
beakerx,6,19,19,0
java-jwt,11,67,67,665
DataX,1,6,6,55
Fotoapparat,1,1,1,170
realm-java,248,9781,9781,2994
reactive-streams-jvm,5,18,18,299
JavaVerbalExpressions,1,10,10,86
jedis,81,247,247,1502
cryptomator,2,10,10,87
che,611,129019,129020,0
bigbluebutton,64,664,664,21
powermock,1,1,1,1112
immutables,7,31,31,913
Algorithms,1,1,1,479
reark,2,19,19,115
actor-platform,1,32,32,29
android-testing,1,2,2,95
javapoet,2,4,4,367
easypermissions,1,1,1,63
Apktool,4,10,10,180
antlr4,19,180,180,849
failsafe,3,13,13,97
swagger-core,14,1611,1611,586
spark,9,14,14,320
atmosphere,1,1,1,268
material-calendarview,1,7,7,22
mongo-java-driver,6,944,944,1419
stetho,3,13,13,38
cucumber-jvm,65,11267,11267,1269
mockito,46,301,301,2387
javaparser,111,9036,9036,3237
angel,2,6,6,294
groovy,1,86,86,3212
nutch,2,12,12,262
dubbo,160,4088,4088,3156
retrofit,1,8,8,803
android-beacon-library,7,17,17,219
MultiType,1,22,22,29
crawler4j,1,1,1,3
Dexter,1,2,2,16
zxing,6,12,12,511
uhabits,10,93,93,396
blade,1,3,3,299
Terasology,80,661,661,771
FileDownloader,3,3,3,16
dbeaver,58,275,275,320
HikariCP,5,19,19,173
jackson-databind,7,24,24,35
OpenRefine,118,910,910,1239
wire,37,99,99,1254
grpc-java,139,629,629,3899
java-apns,2,4,4,107
DeepLinkDispatch,4,13,13,195
auto,1,1,1,812
reflections,1,2,2,76
jOOQ,1,4,4,38
hsweb-framework,1,3,3,110
gephi,3,4,4,357
XChange,98,12843,12843,1586
spring-framework,4,60,60,19825
apollo,27,84,84,956
Mycat-Server,4,17,17,361
android-maps-utils,1,1,1,202
